dimension,steps,h,delta,stopped_steps,epsilon,h1_full_horizon_error,target_variance,euler_variance,mean_norm_sq,kl_target_to_euler,conditional_score_l8_to_four,theorem_factor,h3_full_joint_holds,h4_conditional_holds
4,16,0.0625,0.375,10,0.0,0.0,0.609375,0.6663562755024419,0.0,0.007757815152478503,43.81780460041329,3411.6168974139987,False,True
4,16,0.0625,0.375,10,0.02,0.0004,0.609375,0.6663562755024419,6.024425776148664e-05,0.007803019392294525,43.81780460041329,3411.6168974139987,False,True
4,16,0.0625,0.375,10,0.08,0.0064,0.609375,0.6663562755024419,0.0009639081241837863,0.008481082989535288,43.81780460041329,3411.6168974139987,False,True
4,16,0.0625,0.25,12,0.0,0.0,0.4375,0.5011583446677521,0.0,0.017645969436010822,43.81780460041329,16559.271218401653,False,True
4,16,0.0625,0.25,12,0.02,0.0004,0.4375,0.5011583446677521,5.51228780194242e-05,0.017700964906609884,43.81780460041329,16559.271218401653,False,True
4,16,0.0625,0.25,12,0.08,0.0064,0.4375,0.5011583446677521,0.0008819660483107872,0.01852589696559781,43.81780460041329,16559.271218401653,False,True
4,16,0.0625,0.125,14,0.0,0.0,0.234375,0.30584514172249366,0.0,0.06495138034840098,43.81780460041329,262319.2712184017,False,True
4,16,0.0625,0.125,14,0.02,0.0004,0.234375,0.30584514172249366,3.3588660406546964e-05,0.06500629156951332,43.81780460041329,262319.2712184017,False,True
4,16,0.0625,0.125,14,0.08,0.0064,0.234375,0.30584514172249366,0.0005374185665047514,0.06582995988619933,43.81780460041329,262319.2712184017,False,True
4,16,0.0625,0.0625,15,0.0,0.0,0.12109375,0.20146128543062342,0.0,0.22021843317681133,43.81780460041329,4194479.271218401,False,True
4,16,0.0625,0.0625,15,0.02,0.0004,0.12109375,0.20146128543062342,1.7204130705477345e-05,0.22026113153115956,43.81780460041329,4194479.271218401,False,True
4,16,0.0625,0.0625,15,0.08,0.0064,0.12109375,0.20146128543062342,0.00027526609128763753,0.22090160684638072,43.81780460041329,4194479.271218401,False,True
4,32,0.03125,0.375,20,0.0,0.0,0.609375,0.6370515571631968,0.0,0.0019439598305526912,43.81780460041329,3411.6168974139987,False,True
4,32,0.03125,0.375,20,0.02,0.0004,0.609375,0.6370515571631968,5.7081936731636924e-05,0.001988761492278293,43.81780460041329,3411.6168974139987,False,True
4,32,0.03125,0.375,20,0.08,0.0064,0.609375,0.6370515571631968,0.0009133109877061908,0.0026607864181627666,43.81780460041329,3411.6168974139987,False,True
4,32,0.03125,0.25,24,0.0,0.0,0.4375,0.4680745926949173,0.0,0.004462096669944876,43.81780460041329,16559.271218401653,False,True
4,32,0.03125,0.25,24,0.02,0.0004,0.4375,0.4680745926949173,5.14367271345614e-05,0.004517041680780015,43.81780460041329,16559.271218401653,False,True
4,32,0.03125,0.25,24,0.08,0.0064,0.4375,0.4680745926949173,0.0008229876341529824,0.005341216843307323,43.81780460041329,16559.271218401653,False,True
4,32,0.03125,0.125,28,0.0,0.0,0.234375,0.2677045892168133,0.0,0.016920645328052708,43.81780460041329,262319.2712184017,False,True
4,32,0.03125,0.125,28,0.02,0.0004,0.234375,0.2677045892168133,3.0082807866731676e-05,0.01697683190287902,43.81780460041329,262319.2712184017,False,True
4,32,0.03125,0.125,28,0.08,0.0064,0.234375,0.2677045892168133,0.0004813249258677068,0.017819630525273022,43.81780460041329,262319.2712184017,False,True
4,32,0.03125,0.0625,30,0.0,0.0,0.12109375,0.1572039250819811,0.0,0.06255210381061271,43.81780460041329,4194479.271218401,False,True
4,32,0.03125,0.0625,30,0.02,0.0004,0.12109375,0.1572039250819811,1.4319083552021079e-05,0.06259764683234259,43.81780460041329,4194479.271218401,False,True
4,32,0.03125,0.0625,30,0.08,0.0064,0.12109375,0.1572039250819811,0.00022910533683233726,0.06328079215828875,43.81780460041329,4194479.271218401,False,True
4,64,0.015625,0.375,40,0.0,0.0,0.609375,0.6230082294719597,0.0,0.0004859641201039669,43.81780460041329,3411.6168974139987,False,True
4,64,0.015625,0.375,40,0.02,0.0004,0.609375,0.6230082294719597,5.557416149149703e-05,0.0005305655867157491,43.81780460041329,3411.6168974139987,False,True
4,64,0.015625,0.375,40,0.08,0.0064,0.609375,0.6230082294719597,0.0008891865838639524,0.0011995875858947028,43.81780460041329,3411.6168974139987,False,True
4,64,0.015625,0.25,48,0.0,0.0,0.4375,0.45246861871120353,0.0,0.0011191787836108552,43.81780460041329,16559.271218401653,False,True
4,64,0.015625,0.25,48,0.02,0.0004,0.4375,0.45246861871120353,4.970510222267234e-05,0.0011741053577058597,43.81780460041329,16559.271218401653,False,True
4,64,0.015625,0.25,48,0.08,0.0064,0.4375,0.45246861871120353,0.0007952816355627575,0.0019980039691320367,43.81780460041329,16559.271218401653,False,True
4,64,0.015625,0.125,56,0.0,0.0,0.234375,0.250403617259385,0.0,0.00428112652582513,43.81780460041329,262319.2712184017,False,True
4,64,0.015625,0.125,56,0.02,0.0004,0.234375,0.250403617259385,2.8499816099431695e-05,0.004338034282213465,43.81780460041329,262319.2712184017,False,True
